BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
80.22	Amusemens du jour ou recueil de petits contes dédiés à la Reine	MORTEMART DE BOISSE, Jeanne-Louise-Philippine de Marbet, dame
80.23	Les dangers des spectacles ou mémoires de M. le duc de Champigny, dédiés à Mgr. le prince de Montbarey. ministre d’Etat & de la guerre, &c &c &c, par M. le chevalier de Mouhy, ancien officier de cavalerie, pensionnaire du Roi, de l’Académie des sciences & belles lettres de Dijon	MOUHY, Charles de Fieux, chevalier de
80.24	Les méprises ou les illusions du plaisir, lettres du comte d’Orabel pour servir à l’histoire de sa vie, rédigées & mises au jour par M. Nougaret	NOUGARET, Pierre-Jean-Baptiste
80.26	Les contemporaines ou avantures des plus jolies femmes de l’âge présent recueillies par N. ** ** et publiées par Timothée Joly, de Lyon, dépositaire de ses manuscrits	RÉTIF DE LA BRETONNE, Nicolas-Edme
80.27	La malédiction paternelle, lettres sincères et véritables de N.** ***** à ses pareils, ses amis et ses maîtresses, avec les réponses, recueillies et publiées par Timothée Joly, son exécuteur testamentaire	RÉTIF DE LA BRETONNE, Nicolas-Edme
80.28	Les amours de Roger et de Gertrude, par Mme Riccoboni, par ordre de Mgr le comte d’Artois	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
80.29	Histoire d’Aloïse de Livarot, par Mme Riccoboni, par ordre de Mgr le comte d’Artois	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
80.3	La confidence enlevée ou les aveux de miss Féli Wilson
80.31	Histoire de Tristan de Léonis, par M. le Cte de Tressai), par ordre de Mgr le comte d’Artois	TRESSAN, Louis-Elisabeth de Lavergne, comte de
80.32	Histoire du petit Jehan de Saintré, par M. le Cte de Tressan, par ordre de Mgr le comte d’Artois	TRESSAN, Louis-Elisabeth de Lavergne, comte de
80.33	Le prince Gérard, comte de Nevers, et la belle Euriant sa mie, par M. le Cte de Tressan, par ordre de Mgr le comte d’Artois	TRESSAN, Louis-Elisabeth de Lavergne, comte de
80.4	Galerie de tableaux ou contes nouveaux par un descendant de Jean Boccace pour servir à l’éducation du beau sexe
80.5	HylasetPhila
80.7	Amour vainqueur des préjugés et couronné par la bienfaisance ou mémoires du comte de Rosnay & du marquis d’Orronville, ouvrage posthume de M. le marquis d’Argens	ARGENS, Jean-Baptiste de Boyer, marquis d’
80.9	Suite des Epreuves du sentiment par M. d’Arnaud, tome cinquième, quatrième anecdote, Amélie	ARNAUD, François-Thomas-Marie de Baculard d’
81.1	Les délices du sentiment, or The Passionate Lovers: in a sériés of letters which hâve recently passed between two celebrated characters, well known in Polite Life for their Virtues, Talents and Accomplishments, with a translation from the originals, written in cypher
81.10	L’aveugle par amour, par l’auteur de Stéphanie & de l’Abailard supposé	BEAUHARNAIS, Fanny de
81.11	Mémoires de Fanny Spingler, histoire angloise par madame Beccary	BECCARY, madame
81.12	Les erreurs d’une jolie femme ou l’Aspasie françoise	BENOIST, Françoise-Albine Puzin de La Martinière, madame
81.13	Les infortunes du chevalier de la Lande, mort à	BRIDEL, Jean-Louis
81.15	Lettres du chevalier de Saint-Alme et de mademoiselle de Melcourt, par mademoiselle de ***	COLLEVILLE, Anne-Hyacinthe de Saint-Léger, dame de
81.16	Nouveaux mélanges sur différens sujets, contenant des essais dramatiques, philosophiques et littéraires	DUBOIS-FONTANELLE, Joseph-Gaspard
81.17	Idylles et pièces fugitives trouvées dans un hermitage au pied du Mont Ste. Odile	DUFRESNES
81.18	Monsieur Guillaume ou le disputeur	DUVERNET, abbé Théophile-Imarigeon
81.2	Histoire d’Alexis Goodman, tirée des manuscrits du feu t? capitaine Cook, traduite de l’anglais
81.20	Normandie ou la conquête de la Neustrie par les Scandinaves	LE CANUT Raoul, premier duc de
81.21	Contes dévots, fables et romans anciens pour servir de suite aux fabliaux, par M. Le Grand	LEGRAND D’AUSSY, le père Pierre-Jean-Baptiste
81.23	Voyage de Sophie et d’Eulalie au palais du vrai bonheur, ouvrage pour servir de guide dans les voies du salut, par une jeune demoiselle	LOQUET, Marie-Françoise
81.25	L’honnête homme, dédié à Mme la comtesse d’H***, par M. l’abbé Maydieu, chanoine de l’église de Troyes en Champagne	MAYDIEU, abbé Jean
81.27	La morale des sens ou l’homme du siècle, extrait des mémoires de M. le chevalier de Barville, rédigés par M. M ... D.M.	MIRABEAU, Honoré-Gabriel de Riqueti, comte de
81.28	Le lama amoureux, conte oriental	ORMOY, Charlotte Chaumet, madame d’
81.29	La découverte australe par un homme-volant ou le Dédale français, nouvelle très-philosophique, suivie de la Lettre d’un singe etc.	RÉTIF DE LA BRETONNE, Nicolas-Edme
81.30	Œuvres posthumes de Jean-Jacques Rousseau ou recueil de pièces manuscrites pour servir de supplément aux éditions publiées pendant sa vie	ROUSSEAU, Jean-Jacques
81.32	Dubois et Gioconda, nouvelle corse	USSIEUX, Louis d’
81.5	Opuscules d’un free-thinker
81.6	Paris vu tel qu’il est
81.8	Vituline ou la courtisane insolente, conte moral
81.9	Suite des nouvelles historiques par M. d’Arnaud, tome second, troisième nouvelle, Le Comte de Strafford	ARNAUD, François-Thomas-Marie de Baculard d’
82.10	Sophie et Théodore ou aventures du comte de L***, nouvelle imitée du polonois, par M. de Cl***
82.13	Les amans républicains ou lettres de Nicias et Cynire	BÉRENGER, Jean-Pierre
82.14	L’ami des enfans, par M. Berquin	BERQUIN, Arnaud
82.17	Les liaisons dangereuses ou lettres recueillies dans une société & publiées pour l’instruction de quelques autres, par M. C.....de L ...	CHODERLOS DE LACLOS, Pierre-Ambroise-François
82.18	Recueil pour servir de suite aux Lectures pour les enfans & les jeunes-gens ou choix de petits contes également propres à les amuser & à leur inspirer le goût de la vertu	COURET DE VILLENEUVE, Louis-Pierre
82.2	Les aventures d’un provincial, nouvelle parisienne
82.20	Adèle et Théodore ou lettres sur l’éducation, contenant tous les principes relatifs aux trois différens plans d’éducation des princes, des jeunes personnes, & des hommes	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
82.23	Lecture du matin ou nouvelles historiettes en prose, par M. Imbert	IMBERT, Barthélemy
82.24	"Les ressources de la vertu, par fauteur des Mémoires de milady B**"""	LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de
82.26	L’Amérique découverte, en six livres	LAUREAU
82.27	L’aventurier françois ou mémoires de Grégoire Merveil	LESUIRE, Robert-Martin
82.28	Nouvelles, par M. de Chamois	LE VACHER DE CHARNOIS, Jean-Charles
82.29	L’âge d’or, recueil de contes pastoraux par le berger Sylvain	MARÉCHAL, Pierre-Sylvain
82.3	Les aventures galantes de quelques enfans de Loyola, avec figures
82.31	Œuvres anonymes, mélanges, tome premier	MONTESSON, Charlotte-Jeanne Béraud de la Haie de Riou, marquise de
82.32	Mizrim ou le sage à la cour, histoire égyptienne	PERREAU, Jean-André
82.33	Scènes champêtres et autres ouvrages du même genre, par M. P**	PERREAU, Jean-André
82.35	Les contemporaines du-commun ou avantures des belles marchandes, ouvrières, etc., de l’âge présent, recueillies par N.-E. R**-D*-L*-B***	RÉTIF DE LA BRETONNE, Nicolas-Edme
82.36	Adélaïde ou mémoires de la marquise de M***, écrits par elle-même	ROBERT, Louise-Félicité Guinement de Kéralio, madame
82.37	Corps d’extraits de romans de chevalerie, par M. le comte de Tressan, de l’Académie françoise	TRESSAN, Louis-Elisabeth de Lavergne, comte de
82.38	Les aveux d’une femme galante ou lettres de madame la marquise de à myladi Fanny Stapelton	VASSE, Cornélie-Pétronille-Bénédicte Wouters, baronne de
82.5	L’heureuse infidélité ou mémoires du chevalier de Raucourt
82.7	Lettres de Mme P., née C., à la Grande-Rivière, et habitante au Trou, quartier du Cap-Français, isle Saint-Domingue, à M.L., habitant du Cap-Français
82.8	Le mariage bien assorti, nouvelle polonaise, par ’* M.D. de S.
82.9	Les plaisirs de l’amour ou recueil de contes, histoires et poèmes galans Chez
83.1	La belle Cauchoise ou mémoires d’une jolie Normande devenue courtisane célèbre, ouvrage pour servir de suite à tous les ouvrages de la philosophie de la nature, par un auteur critico-satirico-dramaturgique
83.10	Rosalie ou le triomphe de l’inconstance
83.11	Le triomphe de la tendresse ou histoire de Victor et d’Ursule, par M. B***
83.12	Voyage de Spa à Bruxelles
83.14	Délassemens de l’homme sensible ou anecdotes diverses, par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
83.15	Les époux malheureux ou histoire de monsieur et madame de nouvelle édition, corrigée, augmentée de deux nouvelles parties, qui sont la conclusion de l’histoire, enrichie de belles estampes, &c., par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
83.16	Nouvelles historiques par M. d’Arnaud, tome troisième	ARNAUD, François-Thomas-Marie de Baculard d’
83.17	La morale en action ou élite de faits mémorables et d’anecdotes instructives, propres à faire aimer la vertu & à former les jeunes gens dans l’art de la narration, ouvrage utile à messieurs les élèves des écoles militaires & des collèges	BÉRENGER, Laurent-Pierre	GUIBAUD, le père Eustache
83.18	Fragment de Xénophon, nouvellement trouvé dans les ruines de Palmyre par un Anglois & déposé au Muséum Britannicum à Londres, traduit du grec par un François et lu à l’assemblée publique du Musée de	BRIZARD, abbé Gabriel
83.2	Le criminel sans le savoir, roman historique et poétique
83.20	Les quatre fils d’Aymon, histoire héroïque	CASTILHON, Jean
83.21	Alexandrine ou l’amour est une vertu, par mademoiselle de S***	COLLEVILLE, Anne-Hyacinthe de Saint-Léger, dame de
83.22	Le mari sentimental ou le mariage comme il y en a quelques-uns, lettres d’un homme du pays de Vaud écrites en	CONSTANT DE REBECQUE, Samuel de
83.23	Ancienne chronique de Gérard d’Euphrate, duc de Bourgogne, traitant pour la plupart son origine, jeunesse, amours & chevalereux faits d’armes, avec rencontres & aventures merveilleuses de plusieurs chevaliers & grands seigneurs de son temps, extraite de l’édition de Paris 1549, in-folio, remise en françois moderne & augmentée de la conclusion de ce roman	CONTANT D’ORVILLE, André-Guillaume
83.25	Le triomphe de la nature, roman nouveau	DESMARETS
83.26	Claris de Galatée, roman pastoral, imité de Cervantes par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthievre	FLORIAN, Jean-Pierre
83.27	L’isle inconnue ou mémoires du chevalier des Gastines, recueillis & publiés par M. Grivel, des Académies de Dijon & de la Rochelle	GRIVEL, Guillaume
83.29	Les aventures de Mathurin Bonice, premier habitant de l’isle de l’esclavage, ancien ministre du roi de Zanfara, tirées de scs mémoires par un académicien des Arcades	JOLY, le père Joseph-Romain
83.31	Lettres de deux amans habitans de Lyon, publiées par M. Léonard	LÉONARD, Nicolas-Germain
83.32	Suite de l’Aventurier françois ou mémoires de Grégoire Merveil, marquis d’Erbeuil	LESUIRE, Robert-Martin
83.33	Dolbreuse ou l’homme du siècle ramené à la vérité par le sentiment & par la raison, histoire philosophique, par M. Loaisel de Tréogate	LOAISEL DE TRÉOGATE, Joseph-Marie
83.35	Anna Rose-Tree, histoire angloise par madame de Malarme	MALARME, Charlotte de Bournon, comtesse de
83.36	Geneviève de Cornouailles et le Damoisel sans nom, roman de chevalerie, par M. de Mayer	MAYER, Charles-Joseph de
83.37	Extrait d’un manuscrit intitulé: le Livre du très-chevalereux comte d’Artois et de sa femme, fille du comte de Boulogne, par M. l’abbé Mercier, abbé de Saint-Léger de Soissons, tiré de la Bibliothèque des romans, janvier 1783, 1er volume	MERCIER, abbé
83.4	Les équipées de l’amour ou les aventures d’Abar-Tucdoc, histoire très morale et de tous les temps
83.40	Ma conversion, par M.D.R.C.D.M.F., avec figures en taille-douce, première édition	MIRABEAU, Honoré-Gabriel de Riqueti, comte de
83.41	Annamire, poeme en trois chants	MONNERON, Marie-Uranie-Rose, madame
83.42	Secondât, baron de la Brède et de Arsace et Isménie, histoire orientale	MONTESQUIEU, Charles-Louis de
83.44	La promenade de province, nouvelle, avec les voyages d’Oromasis dans l’isle de la bienveillance et dans la planete de Mercure	PLISSON, Marie-Prudence
83.47	Les contemporaines par-gradation ou avantures des jolies-femmes de l’âge actuel, suivant la gradation des principaux états de la société, recueillies par N.-E.R.**D.*-L.*-B.*** Imprimé à Leipsick, par Buschel, marchand-libraire & se trouve à Paris, cites la d.e v.e	RÉTIF DE LA BRETONNE, Nicolas-Edme
83.48	La dernière avanture d’un homme de quarante-cinq ans, nouvelle utile à plus d’un lecteur	RÉTIF DE LA BRETONNE, Nicolas-Edme
83.49	Histoire de Christine, reine de Suabe, et celle d’Alo’ise de Livarot, par madame Riccoboni, première partie	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
83.5	Le fat corrigé, histoire morale
83.51	Les aventures du comte de Rivière, nouvelle française	USSIEUX, Louis d’
83.52	Charles de France, duc de Berri, nouvelle française	USSIEUX, Louis d’
83.53	La disgrâce de Comines, nouvelle française	USSIEUX, Louis d’
83.54	Les amours du comte d’Angoulême, nouvelle française	USSIEUX, Louis d’
83.55	L’art de corriger et de rendre les hommes constans	VASSE, Cornélie-Pétronille-Bénédicte Wouters, baronne de
83.56	Le char volant ou voyage dans la lune	VASSE, Cornélie-Pétronille-Bénédicte Wouters, baronne de
83.57	Le nouveau continent, conte, par une dame angloise, auteur des A veux d’une femme galante	VASSE, Cornélie-Pétronille-Bénédicte Wouters, baronne de
83.59	Le danger d’aimer un étranger ou histoire de mylady Chester et d’un duc français	WITART DE BEZU
83.6	Histoire de mademoiselle de Morsan ou l’heureuse petite vérole
83.7	Histoire de Mr Montague, traduite de l’anglois t?
83.8	Ma conversion, par M.D.R.C.D.M.F.
83.9	Mémoires de Suzon, soeur du portier des Chartreux, suivis de l’Histoire de Marguerite, fille de Suzon
84.1	L’apothéose moderne, conte poétique
84.10	Le cabriolet ou l’égoïste corrigé, conte en l’air	BEAUHARNAIS, Fanny de
84.11	L’ami de l’adolescence, par M. Berquin	BERQUIN, Arnaud
84.13	Le danger d’une première faute, histoire angloise par J.H.D. B****, auteur du Nouveau petit Pompée	BRIEL, J.-H.-D.
84.16	Les voyages d’Amour, fils de Vénus, par M. le chevalier de Ch - gny, officier de cavalerie Paris, Théophile Barrois le jeune, ce mois de mai de l’année	CHAMPAGNY, Charles de Nompère, chevalier de
84.17	Lettres de mistriss Henley, publiées par son amie	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
84.18	Lettres neuchâteloises, roman	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
84.2	Les confessions d’une courtisane devenue philosophe
84.20	L’école des filles, histoire morale par monsieur le chevalier de Cubières	CUBIÈRES-PALMÉZEAUX, Michel de
84.21	La dernière Héloïse ou lettres de Junie Salisbury, recueillies et publiées par M. Dauphin, citoyen de Verdun	DAUPHIN
84.22	Baby-Bambou, histoire archi-inerveilleusc, publiée par M.D. de S. Chimêronville &	DESCHAMPS DE SAUCOURT
84.23	Le retour de mon pauvre oncle ou relation de son voyage dans la lune, écrite par lui-même & mise au jour par son cher neveu	DULAURE, Jacques -A.
84.24	Les six nouvelles de M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, des Académies de Madrid et de Lyon	FLORIAN, Jean-Pierre Claris de
84.25	Amusements littéraires, par M. le comte de Fortia	FORTIA D’URBAN, Agricole-Joseph-François-Xavier-Pierre-Esprit-Simon-Paul-Antoine, marquis de
84.26	Les veillées du château ou cours de morale à l’usage des enfans par l’auteur d’/ldè/e et Théodore	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
84.27	Nouveau voyage sentimental	GORJY, Jean-Claude
84.28	Vie et amours d’un pauvre diable	HAUDART
84.29	Mis Mac Rea, roman historique, par M. Hilliard d’Auberteuil	HILLIARD D’AUBERTEUIL, Michel-René
84.3	Le diner du Lion d’Or, ou aventures singulières arrivées en juillet 1783 au Sr. Manzon, alias Fort-en-Gueule, rédacteur de la gazette intitulée le Courier du Bas-Rhin
84.32	Les travaux de monsieur l’abbé Mouche	LANTIER, Étienne-François
84.33	Ramassis	LA ROCHEFOUCAULD-SURGÈRES, Jean-François de
84.34	Aabba ou le triomphe de l’innocence Éleutéropolis & se trouve à	LE CAMUS DE MEZIERES, Nicolas
84.35	Emire et Agathee, Mirson et Zelide, Cleophis et Sӱrka, par F. is C. de la Roy de Lozembrune	LEROY DE LOZEMBRUNE, François-Claude
84.36	Les folies philosophiques par un homme retiré du monde	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
84.37	L’insuffisance de la vertu	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
84.38	Olinde, par l’auteur des Mémoires du vicomte de Barjac	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
84.39	Le vicomte de Barjac ou mémoires pour servir à l’histoire de ce siècle	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
84.4	Histoire et aventures merveilleuses du médecin Kamel
84.40	Histoire d’Eugénie Bedford ou le mariage cru impossible, par madame de Malarme	MALARME, Charlotte de Bournon, comtesse de
84.41	Asgill ou les désordres des guerres civiles, par M. de Mayer	MAYER, Charles-Joseph de
84.42	Laure et Felino, Leçons d’amour ou les dix tableaux, Cabestaing, nouvelle édition	MAYER, Charles-Joseph de
84.43	Bergeries et opuscules de Mlle d’Ornoy l’aînée	MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame
84.46	Histoire intéressante d’un nouveau voyage à la lune et de la descente â Paris d’une jolie dame de cette terre étrangère	MOMORO, Antoine-François
84.47	Lettres taïtiennes par madame de Monbart Breslau, Guillaume Théophile	MONBART, Marie Joséphine de Lescun de
84.48	Histoire d’Ab-dal-Mazour, suite des Contes orientaux, troisième récit du sage Caleb, voyageur persan, par Mad. Mo. . . Constantinople &	MONNET, Marie, née Moreau
84.50	L’étourdi	NERCIAT, André-Robert Andréa de
84.52	Télèphe, en XII livres	PECHMEJA, Jean de
84.53	Le roi voyageur ou examen des abus de l’administration de la Lydie	PERREAU, Jean-André
84.56	Récréations de philosophie et de morale par M. le chevalier de Pougens Yverdon & se vend à	POUGENS, Marie-Charles-Joseph de
84.58	La paysanne pervertie ou les dangers de la ville, histoire d’Ursule R**, sœur d’Edmond, le paysan, mise-au-jour d’après les véritables lettres des personages, avec 114 estampes, par l’auteur du Paysan perverti	RÉTIF DE LA BRETONNE, Nicolas-Edme
84.59	La prévention nationale, action adaptée à la scène, avec deux variantes et les faits qui lui servent de base	RÉTIF DE LA BRETONNE, Nicolas-Edme
84.6	Le petit fils d’Hercule
84.64	Le voyage des Muses, allégorie pour madame de Saint-Huberty, par M. Yreilit	THIERY
84.65	Œuvres complètes	VOLTAIRE, François-Marie Arouet de
84.9	Suite des Nouvelles historiques par M. d’Arnaud, tome troisième, seconde nouvelle, Le comte de Gleichen	ARNAUD, François-Thomas-Marie de Baculard d’
85.10	L’inconnue, histoire véritable
85.11	Julie ou le triomphe de la constance, mémoires de la comtesse d’Ar***, écrits par elle-même & publiés par madame de ***
85.12	Mémoires d’un prisonnier d’Etat ou correspondance de M. le vicomte de B., avec .... la marquise de St. L. & plusieurs autres personnes de distinction
85.13	La princesse infortunée ou histoire d’Aureli
85.14	Prix de l’union, en deux parties
85.16	Les vieilles lanternes, conte nouveau ou allégorie faite pour ramener les uns & consoler les autres, étrennes pour tout le monde, avec une clef pour rire et des notes pour pleurer
85.19	Alida et Dorval ou la nymphe de l’Amstel députée par les états-généraux à la recherche de la liberté	BEAUNOIR, Alexandre-Louis-Bertrand Robineau, dit de
85.2	Les amours et les aventures du lord Fox traduits de l’anglois t? par M***
85.20	Les dangers d’un premier choix ou lettres de Laure à Emilie par M. de La Dixmerie	BRICAIRE DE LA DIXMERIE, Nicolas
85.21	Les voyages du (sic) lord Henri, histoire angloise, par J.H.D.B***, auteur du Nouveau petit Pompée & du Danger d’une première faute	BRIEL, J.-H.-D.
85.23	Le triomphe de la raison ou lettres de deux jeunes dames de qualité, dédié, par permission, à madame la duchesse de Devonshire, par mademoiselle Cacouault de la Mimardière	CACOUAULT DE LA MIMARDIÈRE, mademoiselle
85.24	Lettres écrites de Lausanne	CHARRIÉRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
85.25	Camille ou lettres de deux filles de ce siècle, traduites de l’anglois sur les originaux	CONSTANT DE REBECQUE, Samuel de
85.26	Cléomene ou tableau abrégé des passions, extrait d’un manuscrit trouvé chez les Caloyers du Mont-Athos	DIDOT, Pierre
85.28	Lettres de madame la comtesse de L*** à monsieur le comte de R***	FONTETTE DE SOMMERY, mademoiselle
85.29	Ismene et Tarsis ou la colère de Vénus, roman poétique, suivi d’une première traduction de quelques poésies légères de Métastase, par M. Grainville	GRAINVILLE, Jean-Baptiste-Christophe
85.3	L’année galante ou les intrigues secrètes du marquis de L***
85.33	Eusèbe ou les beaux profits de la vertu dans le siècle où nous vivons	LA VEAUX, Jean-Charles-Thibault de
85.34	Seconde suite de l’Aventurier françois, contenant les mémoires de Cataudin, chevalier de Rosamene, fils de Grégoire Merveil	LESUIRE, Robert-Martin
85.35	Richard Bodley ou la prévoyance malheureuse, par madame de Malarme	MALARME, Charlotte de Bournon, comtesse de
85.36	Aventures et plaisante éducation du courtois chevalier Charles-le-bon sire d’Armagnac, contenant profitables leçons à jeunes chevaliers & à dames de haut parage, par M. de Mayer	MAYER, Charles-Joseph de
85.37	Les écarts du tempérament ou le catéchisme de Figaro	NERCIAT, André-Robert Andréa de
85.38	L’isle des sages ou le sceptre donné par les Grâces, esquisse anecdotique, mise en lumière par le F.’. Apo-Carlo-Diplo-Fel-Nogaret, polémarque de la R.’. L.’. Ec.’. du Patriotisme à l’O.’. de la cour, membre de plusieurs Académies	NOGARET, François-Félix
85.39	Les dangers de la sympathie, lettres d’Henriette de Belval au baron de Luzi, & de différentes personnes qui ont eu part aux principaux événemens de sa vie, rédigées & mises au jour par M. N*******	NOUGARET, Pierre-Jean-Baptiste
85.4	L’asile des Grâces, étrennes aux jolies femmes de Paris, conte érotique publié par un
85.40	Les veillées du Marais ou histoire du grand Prince Oribeau, roi de Mommonie, au pays d’Evinland, et de la vertueuse princesse Oribelle, de Lagenie, tirée des anciennes-annales-irlandaises et récemment-translatée en-français, par Nichols-Donneraill, du comté de Korke, descendant de l’auteur Imprimé à Waterford, capitale de Mommonie	RÉTIF DE LA BRETONNE, Nicolas-Edme
85.42	Isman ou le fatalisme, histoire persanne, traduite du portugais de don Sébastien	RIVAROL, Claude-François, chevalier, ensuite comte de
85.43	Le vice et la foiblesse ou mémoires de deux provinciales, rédigés par l’auteur de la Quinzaine angloise	RUTLIDGE, James, dit Jean-Jacques Rutledge
85.47	Œuvres diverses de monsieur le marquis de Wargemont, capitaine attaché au cinquième régiment des chasseurs à cheval	WARGEMONT
85.48	Pièces morales et sentimentales de madame J.W., c-t-esse de R—s—g, écrites à une campagne, sur les rivages de la Brenta, dans l’Etat vénitien	WYNNE, Justinienne, comtesse ORSINI-ROSENBERG
85.5	Aventures singulières d’un voyageur aérien mises au jour par M. J»»*
85.7	La belle captive ou histoire du naufrage & de la captivité de mademoiselle
85.8	Les deux journées
85.9	L’exemple et les passions ou aventures d’un jeune homme de qualité par M. de M......Off. d’Inf.
86.1	Alexandrine de Ba** ou lettres de la princesse Albertine, contenant les aventures d’Alexandrine de Ba**, son aïeule, traduites de l’allemand de Dom Gus...., par mademoiselle de ***
86.10	Exercices de dévotion de M. Henri Roch avec Mme la duchesse de Condor, par feu M. l’abbé de Voisenon, de joyeuse mémoire et de son vivant membre de l’Académie françoise
86.12	Histoire galante de deux maquerelles les plus célèbres de la * capitale des Welches, ornée de jolies vignettes
86.13	Les loisirs d’une jeune personne raisonnable et sensible
86.14	Les malheureuses amours de M. de Pet-en-haut et de Mlle * Vesse-en-d’sous, histoire aussi tragique que véritable et remarquable
86.16	Les soirées de quelques religieuses de l’abbaye de ** *
86.19	Délassemens de l’homme sensible ou anecdotes diverses, par M. d’Arnaud, seconde année	ARNAUD, François-Thomas-Marie de Baculard d’
86.2	L’amitié dangereuse ou Célimaure et Amélie, histoire véritable
86.20	Le somnambule, œuvres posthumes en prose et en vers, où l’on trouve l’histoire générale d’une Isle très-singulière, découverte aux grandes Indes en 1784	BEAUHARNAIS, Fanny de
86.22	Lettres sur le désir de plaire, suivies de Ce que c’est que l’occasion, conte moral, par l’auteur des Erreurs d’une jolie femme	BENOIST, Françoise-Albine Puzin de La Martinière, madame
86.23	Les heures de loisir ou nouveaux contes moraux, par J.H.D.B****, auteur des Voyages du lord Henri	BRIEL, J.-H.-D.
86.26	Nouvelles histoires et paraboles, par l’auteur du Catéchisme pratique	CHAMPION DE NILON, le père Charles-François
86.27	Laure ou lettres de quelques femmes de Suisse	CONSTANT DE REBECQUE, Samuel de
86.29	Zélie dans le désert, par madame D........	DAUBENTON, Marguerite
86.32	Mémoires de madame de Warens, suivis de ceux de Claude Anet, publiés par un C.D.M.D.P., pour servir d’Apologie aux Confessions de J.J. Rousseau	DOPPET, François-Amédée
86.33	Langle Amours ou lettres d’Alexis et Justine, par M*****	FLEURIOT, Jean-Marie-Jérôme, marquis de
86.34	Numa Pompilius, second roi de Rome, par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, de l’Académie de Madrid, etc.	FLORIAN, Jean-Pierre Claris de
86.36	L’homme-sans-façon ou lettres d’un voyageur allant de Paris à Spa	HAVE, Adrien-Joseph
86.38	Les confessions de monsieur Emanuel Figaro, écrites par lui-même	LANTEIRES, Jean
86.39	Mes promenades champêtres ou poésies pastorales, par J.B. Leclerc	LECLERC, Jean-Baptiste
86.42	Tableau des mœurs d’un siècle philosophe, histoire de Justine de Saint-Val, par M.F.C.L.R.D.L., avec figures	LEROY DE LOZEMBRUNE, François-Claude
86.43	Cruzamante ou la sainte-amante de la croix	LOQUET, Marie-Françoise
86.44	Mémoires de madame la duchesse de Morsheim ou suite des Mémoires du vicomte de Barjac	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
86.45	Mémoires de mademoiselle de Baudéon, pour servir à l’histoire de l’année dernière	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
86.46	L’heureux jeune homme, histoire orientale	MAIMIEUX, Joseph de
86.47	L’hypocrite démasqué ou Félix et Colombe	MAIMIEUX, Joseph de
86.48	Tout est possible à l’amitié ou histoire de milord Love-Rose et de Sophie Mostain, par madame de Malarme	MALARME, Charlotte de Bournon, comtesse de
86.51	Le rideau levé ou l’éducation de Laure	MIRABEAU, Honoré-Gabriel de Riqueti, comte de
86.52	Caroline, par madame de ***, publiée par le traducteur de Werther	MONTOLIEU, Elisabeth-Jeanne-Pauline Polier de Bottens, dite
86.55	Confessions du chevalier de ***, pour servir à l’histoire secrette de deux époux malheureux de la ville de Marseille	NOUVEL
86.56	Choix de petits romans de différens genres, par M.L.M.D.P., la plupart déjà imprimés pour la première fois en 1776 & 1777, revus, corrigés & augmentés par l’auteur	PAULMY, Antoine-René de Voyer d’Argenson, marquis de
86.57	Idylles ou contes champêtres, par Mlle Levesque	PETIGNY DE SAINT-ROMAIN, Marie-Louise-Rose Levesque, madame
86.58	La femme infidelle, par Maribert-Courtenay	RÉTIF DE LA BRETONNE, Nicolas-Edme
86.59	Les Françaises ou XXXIV exemples choisis dans les mœurs actuelles, propres à diriger les	RÉTIF DE LA BRETONNE, Nicolas-Edme
86.6	Le chevalier de Weémar, histoire corse en 1759, accompagnée de l’historique des mœurs des habitans de cette isle
86.60	Les confessions d’un Anglois ou mémoires de sir Charles Simpson, rédigés sur le manuscrit original par l’auteur de la Quinzaine angloise	RUTLIDGE, James, dit Jean-Jacques Rutledge
