P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
74.17			HELAINE, abbé												Les amans vertueux ou lettres d’une jeune dame écrites de la campagne à son amie à Londres, ouvrage traduit de l’anglois		Londres & Paris			J.P. Costard			1774	1774				2 part, in-12			vii + 203, 189p.		A BN+ CatH xlvii 1773; LV B Delcro Gay Mornet Q Streeter (trad. supposée)							Lettres			Angleterre			Henriette, Amélie, Rivers			intrigues mondaines, histoire d’amour, discussions philosophiques			sensibilité, intentions moralisatrices				
74.18			LAISSE, madame de												Nouveaux contes moraux par Mde de Laisse, épouse d’un capitaine de cavalerie au régiment d’Artois, dédiés à Me la comtesse d’Artois		Paris			Valade			1774	1774				2 part, in-12			156, vi+ 172p.		A BN+ CatH xv, xxxiii 1774; LV Q /. 1-79																					Lettre à mon ami ou les soeurs rivales; 80-156, Il n’est pas impossible de parvenir au bonheur. //, 1-119 reproduit Recueil d’anecdotes du même auteur (v. 73.24); 121-172, L’orgueilleux non corrigé ou lettre de madame de P*** à madame de L***.		
74.19			LECLERC, J.-P.-M.												La constance inimitable ou les amours de Lindor et d’Ana-créonte, conte moral imité de M. Marmontel par Mr J.P.M. Cl***		Genève						1774	1774				in-12			xiv + 126p.		BN+		B 0 Le titre de départ porte: Les amours de Lindor et d’Anacréonte.					3e personne			France, Angleterre			Lindor, Anacréonte, Amynte, Fatime			amours contrariées			sensibilité, vertu				
74.2															Lejeune philosophe ou lettres amoureuses de Florival et de * Sophie								1774	1774				in-12					Gay																							
74.21			LEPRINCE DE BEAUMONT, madame Marie												Contes moraux par Mde Le Prince de Beaumont		Lyon			Pierre Bruyset Ponthus			1774	1774				2t. in-12			288, 274p.		A BM BN+ CatH xlviii 1773 Delcro Mornet		Momet et Q donnent une édition: Lyon & Paris, Saillant, 1773, in-12, que nous n’avons pu retrouver. Elle a son origine peut-être dans une annonce parue à la fin de 1773.																			I. 1-74, Le juge de sa propre faute: 77-88, Histoire de Céleste; 99-288, Le vrai point d’honneur, histoire morale. II, 1-237, Suite du Vrai point d honneur.		
74.22	mt		MACPHERSON, James						SAINT-SIMON, Maximilien-Henri, marquis de						Temora, poëme épique en VIII. chants, composé en langue erse ou gallique par Ossian fils de Fingal, traduit d’après l’édition anglaise de Macpherson, par M. le marquis de St. Simon Amsterdam. D.J.		Changuion						1774	1774				in-8			54+ 252p.		BN+ Clayton Rochedieu Van					Tieghem, Ossian Trad.de Temora. 1763		En marge: 3e personne, avec récits intercalés 1re et 3e personnes			Irlande			Cormac, Fingal, Cairbar, Ossian			aventures guerrières			couleur locale, ton épique				
74.23	mt		MUSÉE le Grammairien						MOUTONNET DE CLAIRFONS, Julien-Jacques						Héro et Léandre, poëme de Musée. On y a joint la traduction de plusieurs idylles de Théocrite. Par M. M***. C**.		A Sestos & se trouve à Paris			chez le Boucher			1774	1774				in-8			xvi + 104p.		BN+ CatH xxiii 1774 Gay		D’autres versions ont été publiées par G. de La Porte du Theil (v. 84.49) et J.-B. Gail (96.48). Autre édition: - Selon l’avertissement de la traduction par La Porte du Theil, 1784, une autre édition de cette version aurait paru en 1779.																					
74.24	*		MUSSET, Louis-Alexandre-Marie de, marquis de Cogners												Le duel et l’Amitié à l’épreuve de l’amour-propre et de l’amour, contes moraux								1774	1774				in-8					Delcro Q																							
74.25	t		NICOLAÏ, Christoph Friedrich										?		La vie et les opinions de maître Sebaltus Nothanker, traduit (sic) de l’allemand par un ami du héros		Londres						1774	1774 (t.I)—1777 (t.ll-III)				3t. in-12.			236, 236, 156p.		A+ BN+ B Mornet Q					Trad. de Dos Leben und die Meinungen des Herm Magister Sebaldus Nothanker, 1773. Cet ouvrage se présente comme une suite de Wilhelmine, par Thûmmel (v. 69.68).		3e personne			Allemagne			le pasteur Sebaltus, Vilhelmine, Marianne, Charlotte, Jérôme			les malheurs d’un pasteur chassé de sa paroisse (aventures romanesques, voyages); discussions de philosophie, de théologie et de littérature			ton satirique				
74.26	m		PAUMERELLE, abbé C.-J. de B. de												La philosophie des vapeurs ou lettres raisonnées d’une jolie femme sur l’usage des symptômes vapoureux, par un académicien apathiste		Lausanne & Paris			J. Fr. Bastien			1774	1774				in-12			viii + 168p.		BM+ CatH xviii 1774; JL xl 1784 B Gay Q																					En marge: pp. 1-143, La philosophie .... lettres où l’auteur encourage une comtesse à adopter la vogue des ’vapeurs’, tout en rapportant des anecdotes (critique des mœurs); 145-168, Le souper de Ninon, discussion sur le platonisme entre Ninon de Lenclos, Saint Evremont (sic) et l’abbé de Chateauneuf.		
74.27			RÉTIF DE LA BRETONNE, Nicolas-Edme												Les nouveaux mémoires d’un homme-de-qualité, par M. le M ... de Br...		La Haie & Paris			veuve Duchesne, De-Hansy			1774	1774				2 part. in-12			ii + 50+ 14+ 218, 208p.		A BM BN+ LV B Gay Q		RivesChilds Rétif prétend avoir remanié dans cet ouvrage un manuscrit de l’avocat et censeur Marchand, qui lui a été remis par Nougaret.					1re personne, avec récits intercalés 1re et 3e personnes			France, Allemagne (fin du règne de Louis XIV, époque contemporaine)			M. d’Yran, M. Deschamets, Placidie, le duc de Bavière, Zaïde			aventures romanesques, histoires de famille			à la manière de Prévost				
74.28	mnt		TASSO, Torquato, dit le Tasse						LEBRUN, Charles-François, duc de						Plaisance Jérusalem délivrée, poëme du Tasse, nouvelle traduction		Paris			Musier fils			1774	1774				2t. in-8			341, 328p.		BM+ BN AL 1775 VU 66; CorrL juillet 1774 Blanc Q		Ouvrage déjà traduit en français au XVIle siècle. La version en prose de Mirabaud, 1724, a été rééditée plusieurs fois (v. 52.R47). Une autre traduction en prose par Panckoucke et Framery a paru en 1785 (v. 85.46).			Trad. de La Gerusalemme liberata, 1581.											En marge: épopée sur la première croisade sous Godefroy de Bouillon							
74.29			USSIEUX, Louis d’												Le Décaméron françois, par M. d’Ussieux, tome second		Paris			Dufour			1774	1774				in-8			pp. 1-66		A+ BM+ BN+ AL 1774 III 73-82		Le faux titre porte: Les princes d’Arménie, nouvelle par M. d’Ussieux. Le volume ne comporte que cette sixième nouvelle du Décaméron françois (v. 72.33).					3e personne			Perse antique, Arménie			Cambyse, Mytrane, Tigrane, Arsène			aventures militaires et sentimentales			sensibilité				
74.3															La nouvelle Thérèse ou la protestante philosophe, histoire sérieuse et galante		Londres			de l’imprimerie de Jean Desbordes			1774	1774				in-8			96p.		BN+							1re personne			province			M. le vicomte de......le comte de la G***, Thérèse de la V***			aventures libertines au couvent							
74.30			USSIEUX, Louis d’												Jean sans peur, nouvelle française par M. d’Ussieux		Paris			Merlin			1774	1774				in-8			pp. 67-130		A+ BM+ BN+ AL 1774 IV 316-330		C’est la septième nouvelle du Décaméron françois (v. 72.33).					3e personne			France (époque de Charles VI)			Valenline, le Dauphin, Jean			intrigues politiques			sensibilité				
74.31			USSIEUX, Louis d’												Raymond et Mariane, nouvelle portugaise, par M. d’Ussicux		Paris			Merlin			1774	1774				in-8			pp. 129-187		A+ BM+ BN+		C’est la huitième nouvelle du Décaméron françois (y. 72.33).					3e personne			Sicile			Raymond, Mariane, le roi Frédéric			aventures guerrières, amours contrariées			sensibilité, sombres malheurs				
74.32			USSIEUX, Louis d’												Roger et Victor de Sabran, nouvelle française, par M. d’Ussieux		Paris			P. Brunet			1774	1774				in-8			pp. 193-244		A+ BM+ BN+		C’est la neuvième nouvelle du Décaméron françois (v. 72.33).					3e personne			France (époque de Louis IX)			Emilie, Roger, Victor			intrigue sentimentale			sensibilité, moyen âge chevaleresque				
74.33			VOLTAIRE, François-Marie Arouet de												Le taureau blanc, traduit du syriaque par dom Calmet		Memphis						1774	1774				in-8			Ixivp.		BN AL 1774 IV 289-31 1 Bengesco Dufrenoy		Pomeau L’ouvrage a paru pour la première fois dans la CorrL décembre 1773-juin 1774. Pour les détails des éditions, que nous donnons de façon sommaire, v. Bengesco et Pomeau.					3e personne			Egypte			Amaside, Mambrès, le Serpent, Amasis			aventures fantastiques			thèmes philosophiques				
74.4															La restitution, anecdote								1774	1774				in-12			36p.		BN+							3e personne			Athènes			Emilie, Philocaste, Phoedime, Selima			un jeune homme rend à la société les biens que son père avait amassés injustement			sensibilité, bienfaisance				
74.4bis	m														Les sages du siècle ou la raison en délire		Amsterdam & Paris			Costard fils et compagnie			1774	1774				3t. in-12			372,411,288p.		Oron+							En marge: 1re personne			Paris			la comtesse de Tanville, madame d’Ernac, M. d’Urby (philosophe), Flozey			conversations sur l’amour, la littérature, des questions politiques, etc., quelques anecdotes et Ma mère l’oye, conte							
74.5															Le Télémaque françois ou aventures d’un jeune provincial à la foire Saint Ovide		Paris.			Edme			1774	1774				in-12			vi + 43p.		A+ CatH xiv 1774; CorrL déc. 1774 Mornet							1re personne									visite à la foire Saint-Ovide, critique des mœurs			ton satirique				
74.6															Le triomphe de la vertu par M. D’....		Londres & Paris			Delalain			1774	1774				in-8			44p.		A BN+							3e personne			France			Vinsnaire, Mme de Valencoure			anecdote galante			sensibilité, prétentions moralisatrices				
74.7			ARNAUD, François-Thomas-Marie de Baculard d’												Dona Elmira ou la fidélité à l’épreuve, histoire traduite de l’espagnol par M. d’Arnaud, enrichie de figures en taille-douce		Neuchâtel			de l’imprimerie de la Société typographique			1774	1774.				in-8			134p.		A+ Mornet		D’après un Catalogue des livres nouveaux rattaché à cet ouvrage, Dona Elmira doit servir de ‘suite aux Epreuves du sentiment’. Ce titre ne semble cependant pas faire partie des éditions collectives des Epreuves (v. 70.21 ). S’agit-il d’une véritable traduction? L’ouvrage est-il bien d’Arnaud?					3e personne			Espagne (Madrid), France			Dona Elmira, le marquis de D**, Dona Rosa, le duc de R***			amours passionnées, intrigues de famille, malheurs			sensibilité, mélancolie				
74.8			ARNAUD, François-Thomas-Marie de Baculard d’												Nouvelles historiques par M. d’Arnaud		Paris			Delalain			1774	1774 (t.I)-1777 (t.II)—1783 (t.III)				3t. in-8			486, 404, 224p.		BN+ Inklaar Mornet		Il s’agit d’une série de nouvelles, chacune publiée séparément mais destinée à être reliée en volume, dans le genre des Epreuves du sentiment du même auteur (v. 70.21 ). Nous rendons compte de chaque titre à l’année de sa parution:																			I, Salisbury (1774); Varbeck (1774); Le sire de Créqui (1776); II, Le prince de Bretagne (1777); La duchesse de Cltâtillon ( 1780); Le comte de Strafford (1781); III, Eudoxie (1783): Le		
74.9			ARNAUD, François-Thomas-Marie de Baculard d’												Nouvelles historiques par M. d’Arnaud, tome premier		Paris			Delalain			1774	1774				in-8			xxi+ 128p.		BN+ AL 1774 V		50-63 C’est la première nouvelle dans la série des Nouvelles historiques (v. 74.8): Salisbury. La page de titre ne porte pas cette mention, étant destinée à servir de frontispice général au premier tome une fois relié.					3e personne			Angleterre (époque d’Edouard III)			Alix, Salisbury, Maly			intrigue sentimentale			sensibilité				
75.1															Les amours malheureux d’un Vendéen		Strasbourg						1775	[non déclaré]				in-8			32p.		BN+		L’exemplaire de la BN porte une note manuscrite: ‘par M.r Trinchot’. Sur la date de publication et l’attribution de l’ouvrage à Ramond de Carbonnières, v. Cuthbert Girdlestone, Poésie, politique, Pyrénées: Louis-François Ramond.... Paris, Lettres modemes-Minard, 1968, pp.58-59.					Cadre 1re personne, suivi d’une série de lettres			Strasbourg			Charlotte K***z			amours malheureuses			sensibilité. A la manière de Werther				
75.10															Zabhet ou les heureux effets de la bienfaisance, par madame de H.***		Amsterdam & Paris			P.F. Gueffier			1775	1775				in-12			394p.		A BN+ CatH iii 1776; LV							Lettres			France			Zabhet, André, M. Duchêne, M. de Werghen, M. de Vormane			une famille riche, réduite à l’indigence, vit comme des paysans dans un village			sensibilité, vertu, bienfaisance, tendances réalistes dans la description de la misère				
75.11			ALBERT, mademoiselle d’												Les confidences d’une jolie femme		Amsterdam & Paris			veuve Duchesne, Guillyn			1775	1775				4 part. in-12			195, 174, 156, 188p.		A BM+ BN+ AL 1775 VI 180-191; CorrL janvier 1775; LV B Drujon Gay Q		Gay donne: Amsterdam, Neufchâtel ou Paris.					1re personne, avec récits intercalés 1re personne			Paris			Mme de Tournemont. le comte de Rozane, Mlle d’Aulnai, Mlle de Villeprez			intrigues mondaines, histoires sentimentales (la jeunesse et le mariage d’une jeune fille dont l’éducation a été négligée)			prétentions moralisatrices				
75.12	mnt		ARIOSTO, Lodovico						USSIEUX, Louis d’						Roland furieux, poème héroïque de l’Arioste, traduction nouvelle par M. d’Ussieux		Paris			Brunet			1775	1775 (t. I)—1776 (t.II, i)—1783 (t.II, ii)				2 t. en 4 parties in-4			203, 205-388, 283, 287-567p.		BN+ JP 17.xii.77 Blanc Q		Selon JP les six derniers chants ont paru in-4 et in-8.	Après les traductions du XVIe et du XVIIe siècles, on trouve au XVIIIe siècle celles de Miraubaud (v. 58.R5), de Cavail-hon (76.11 ), de Tressan (80.8) et de Panckoucke et Framery (87.22).		Trad. en prose de Orlando furioso, 1516-1532.																		
75.13			ARNAUD, François-Thomas-Marie de Baculard d’												Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, troisième anecdote, Lorezzo		Paris			Delalain			1775	1775				in-8			pp. 21 1-340		A+ BN+ AL 1775 VI 155-161 Inklaar		Le titre de départ porte: Lorezzo, anecdote sicilienne. Pour la série des Epreuves du sentiment, v. 70.21.					3e personne			Sicile			Sérano, Lorezzo, Nina, le prince de ***			les amours champêtres du neveu d’un prince qui veut renoncer à son rang par amour			sensibilité, retour à la nature				
75.14			ARNAUD, François-Thomas-Marie de Baculard d’												Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, quatrième anecdote, Liebman		Paris			Delalain			1775	1775				in-8			pp. 343-428		A+ BN+ AL 1775 Vil 181-192; CatH xxviii 1775 Inklaar		Le titre de départ porte: Liebman, anecdote allemande. Pour la série des Epreuves du sentiment, v. 70.21. NBR 2e année III (1799), pp. 55-87, offre un abrégé.					Cadre 1re personne, avec récit principal 1re personne			Allemagne			Liebman, Amélie			les amours malheureuses d’un homme comblé par la fortune			sensibilité effrénée				
75.15			ARNAUD, François-Thomas-Marie de Baculard d’												Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, cinquième anecdote, Rosalie		Paris			Delalain			1775	1775				in-8			pp. 431-522		A+ BN+ AL 1776 I 203-211; CatH xliii 1775 Inklaar		Pour la série des Epreuves du sentiment, v. 70.21.					3e personne			France			Domerval, Rosalie, Mlle Mézirac, Montal-mant, Fréminville (commerçants)			les malheurs d’une orpheline			sensibilité effrénée				
75.16			ARNAUD, François-Thomas-Marie de Baculard d’												Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, première anecdote, Ermance		Paris			Delalain			1775	1775				in-8			88p.		A+ BN+ AL 1776 H 126-141 Inklaar		Pour la série des Epreuves du sentiment, v. 70.21.					3e personne			France			Ermance, Salancey, le chevalier de Lorménil			amours contrariées par les préjugés d’un père			sensibilité effrénée, malheurs				
75.17	c		ARNAUD, François-Thomas-Marie de Baculard d’	GESSNER, Salomon	MARMONTEL, Jean-François			d’autres							Lectures pour les enfans ou choix de petits contes également propres à les amuser & à leur faire aimer la vertu		Paris			Delalain			1775	1775				in-12			212p.		BM+ AL 1775 VII		346-347 Quelques-uns de ces contes sont des morceaux assez bien connus, auxquels l’éditeur a donné de nouveaux titres: par exemple, le premier conte, par Voltaire, est Jeannot et Colin; l’Histoire d’un peuple... de Montesquieu est l’histoire des Troglodytes, tirée des Lettres persanes, etc. Le recueil contient aussi quelques contes en vers dont nous n’avons pas donné les titres. Un ouvrage semblable, intitulé Recueil pour servir de suite aux Lectures pour les enfans.... a paru en 1782 (v. 82.18). L’éditeur de ce Recueil est censé être Couret de Villeneuve, mais ni B ni Q ne cite Lectures pour les enfans parmi les ouvrages que Couret de Villeneuve a édités.	trouve des annonces pour cet ouvrage dans L ami des enfans et dans L’ami de l’adolescence de Berquin (82.14, 84.11): dans le numéro de ce dernier pour septembre 1784, par exemple, on offre Lectures pour les enfans... en 4t. in-18. Ste-Geneviève a un t.III daté de 1783; et il semble s’agir d’un compte rendu de cet ouvrage dans AL 1783 II 214-21.																		Pp. 1-12, Toutes les grandeurs de ce monde ne valent pas un bon ami Z Voltaire!; 13-19, Le moyen de couler une vie toujours heureuse [Kleist et Gessner!; 20-23, Les soins prévenons des enfans pour leurs pères j Gessner! ; 34—40, Le besoin d’aimer et d’être aimé /Saint-LambertI ; 40-42, Les crimes punis l’un par l’autre j Saint-Lambert j ; 42-55. Le prix de la fidélité [Le Tourneur!; 56-64, L’homme bienfaisant, même après sa mort j Gessner j ; 73-92, La probité récompensée [anonyme!; 93-99, Le bon fils /anonyme!; 105-125, Histoire d’un peuple malheureux par le crime <t heureux par la vertu [Montesquieu! ; 126-129, Heureux le père d’un si bon fils [Gessner/; 167-189, La mauvaise mère et le bon fils [Marmontel! ; 190-205, Le courage de l’amitié [Arnaud!.		
75.18			BÉDIGIS, François-Nicolas												La fille philosophe, conte moral par Fulgence Bédigis		Paris			Valleyre			1775	1775				in-12.			48p.		A+ LV Mornet		0 donne la date de 1777. sans doute par erreur.					3e personne			Paris			Joséphine, Narcisse, le Vieillard, Norgueil			une jeune fille apprend que la philosophie sans religion mène au désastre			ton satirique				
75.19			BOISGIRON, madame de												Les suites d’un moment d’erreur ou lettres de mademoiselle de Keresmont, publiées par madame de ***		Amsterdam & Paris			Changuion, Le Jay			1775	1775				2 part, in-12			252, 202p.		A BN+ CatH xx 1775; LV B Gay Mornet Q							Lettres			province (Rennes)			Mlle de Keresmont, le marquis de Tréville, M. de Mérac			histoires de famille, intrigues mondaines			sensibilité				
75.1bis															L’amour vainqueur du vice ou lettres du marquis de Cousanges		Amsterdam & Paris			Mérigot jeune			1775	1775				2 part, in-12			247, 223p.		A BN+ CatH vii 1776 Gay Mornet Dans		l’exemplaire de la BN la date: M.DCC.LXXV. a été corrigée à la main pour en faire: M.DGC.LXXVI. Gay donne les deux dates: 1775 et 1776; tandis que Mornet ne donne que 1776.					Lettres			Paris, province			le marquis de Cousanges, le chevalier de Sargine, Mme de Thian, Mme de Beausire, Henriette			aventures galantes suivies d’un véritable amour			sensibilité, vertu				
75.2	ct		?						BERQUIN, Arnaud						Choix de tableaux tirés de diverses galeries anglaises par monsieur Berquin		Amsterdam & Paris			veuve Duchesne			1775	1775				in-8			ii+ 296p.		A BN+ AL 1775 II 73-93; CatH ix 1775; LV Mornet Rochedieu Streeter		Selon la préface, Berquin aurait voulu intituler son ouvrage: Traduction libre des meilleures feuilles périodiques publiées en Angleterre depuis le Spectateur. Pour une étude détaillée de cet ouvrage, v. J.-M. Carrière. ‘Berquin’s adaptations from English periodical literature’, Philological Quarterly. XIII, 1934, 248-260.			Trad. de morceaux tirés du Connoisseur, de l’ldler, de l’Adventurer et du Rambler.																Le volume est composé d’une série de petits extraits (souvent des lettres), où l’on raconte des anecdotes		
75.20			BOUTET DE MONVEL, Jacques-Marie												Frédégonde et Brunehaut. roman historique par M. Monvel		Londres & Paris			veuve Duchesne et chez l’auteur			1775	1775				in-8			179p.		A BM+ BN+ AL 1775 VI 92-101; ConL août 1775 et janv. 1783; LV Delcro Mornet Q		Dans son avertissement, l’auteur promet d’autres récits dans le même genre si celui-ci réussit. Cf. les séries de nouvelles d’Arnaud et d’Ussieux.					3e personne			France (moyen âge)			Sigebert, Brunehaut, Mérovée, Frédégonde			histoire franque romancée, horreurs et catastrophes			sensibilité				
75.21	m		BRICAIRE DE LA DIXMERIE, Nicolas												La Sibyle gauloise ou la France telle qu’elle fut, telle qu’elle est et telle à peu près qu’elle pourra être, ouvrage traduit du celte & suivi d’un commentaire par M. de La Dixmerie		Londres & Paris			Valleyre l’aîné, Lacombe			1775	1775				in-8			xxviii + 276p.		A BM BN+ CorrL sept. 1775; LV O																En marge: les rêves allégoriques de la Sibyle préfigurent l’histoire de France							
75.22			CAYLUS, Anne-Gaude-Philippe de												Tubières-Grimoard de Pestels de Levis, comte de Tout vient à point [à] qui peut attendre ou Cadichon, suivi de Jeannette ou l’indiscrétion, contes par feu le comte de Caylus, pour servir de supplément aux contes de fées de madame d’Aulnoy, avec une préface de l’auteur		Le Haye & Paris			veuve Duchesne			1775	1775				in-12			163p.		A BN+ AL 1775 III 121-125; ConL juin 1775; LV Delcro Gay Mornet Q		Cet ouvrage, dans cette édition, constitue la troisième partie du tome IX de la Bibliothèque de campagne, Amsterdam & Paris, veuve Duchesne, 1778, 24t. (BNt).														Deux contes de fées, le premier sur le thème de l’impatience, le second sur celui du bavardage					Pp. 25-135, Cadichon, conte; 140-163, Jeannette.		
75.23	nt		CERVANTES SAAVEDRA, Miguel de						COSTE D’ARNOBAT, Charles-Pierre	LEFEBVRE VILLEBRUN, Jean-Baptiste					Nouvelles espagnoles de Michel de Cervantes, traduction nouvelle avec des notes, ornée de figures en taille douce. La bohémienne, nouvelle première		Madrid & Paris			Costard			1775	1775				in-8			71p.		BN+ AL 1775 V 22-44 et 1777 VIII 56-66; CatH xxxii 1775 Q		C’est le premier volume d’une série de traductions, présentées à la manière des nouvelles d’Arnaud et d’Ussieux. Chaque numéro comporte une nouvelle et une page de titre séparée (dont certaines sont enlevées dans les éditions réunies que nous avons vues). Selon le catalogue de la BN, les deux premières nouvelles ont été traduites par Coste d’Arnobat, les autres par Lefebvre de Villebrune. Nous donnons ci-dessous les rééditions de la série, mais rendons compte de chaque nouvelle à l’année de sa parution: La bohémienne, 1775; L’amant libéral, Théodosie et Léocadie, Le jaloux d’Estrémadure, 1776; L’Espagnole angloise, Le sot curieux. Le licentié de verre, 1777; L’illustre Frégone, La force du sang, Cornélie, Le mariage trompeur. Les filoux, s.d. (175W).			Trad. de Novelas ejemplares, 1613. Pour la version de Saint Martin de Chassonville, v. 59. R8.																		
75.24	nt		CHARITON D’APHRODISIAS						FALLET						Les aventures de Choerée et de Callirrhoé, traduites du grec par M. Fallet		Amsterdam & Paris			rue Saint-Jean-de-Beauvais			1775	1775				in-8			210p.		A BM+ BN		CatH xxv, xii, xiii 1775; v, xiii 1776 Mornet A en juger par les annonces du CatH, cet ouvrage semble avoir été publié en plusieurs parties séparées. Une autre traduction, par Pierre-Henri Larcher, a paru en 1763 (v. 63.20). Pour la version abrégée de Fréron, v. 86.5.																					
75.25			COMPAN, Charles, abbé												Colette ou la vertu couronnée par l’amour, conte moral, par M. Compan		Amsterdam & Paris			Mérigot le jeune			1775	1775				2 part, in-12			208, 174p.		A BN+ CorrL juin 1775; LV B Gay Mornet Q							3e personne, avec un long récit intercalé 1re personne			province (Loire)			Evandre, Perette, Colette, Sophie, Damon			une petite paysanne vertueuse épouse après bien des péripéties le fils d’un seigneur			sensibilité, vertu				
75.26	m		COUTAN (maitre-boutonnier)												Le livre sans titre à l’usage de ceux qui sont éveillés pour les endormir et de ceux qui sont endormis pour les éveiller, par M. Coutan		Amsterdam & Paris			Delalain, l’auteur			1775	1775				in-12			204p.		BN+ CatH viii 1778 Gay Q																En marge: petites anecdotes sur la vie du narrateur, sur les personnes qu’il rencontre, entrecoupées dp réflexions diverses							
75.27			DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit												Le sacre de Numa ou Egérie, histoire trouvée dans les ruines d’Ilerculanuin		Paris						1775	1775				in-8			viii + 29p.		BN+ AL 1775 IV 39-45 Drujon		Selon Drujon, cet ouvrage a été publié à l’occasion du couronnement de Louis XVI. Une version remaniée a été publiée en 1788; v. 88.47.					3e personne			Italie			Egérie, Numa			alchimie, magie			ton satirique				
75.29	t		HALLER, Albrecht von										?		Alfred, roi des Anglo-Saxons, par Mr. le baron de Haller, seigneur de Goumoëns-le-Jux, président de la Société royale de Goettingue & de la Société économique de Berne, associé de l’Académie royale des sciences de Paris, &c., Sic., membre du Conseil souverain des deux-cents de la République de Berne, &c., &c., traduit de l’allemand		Berne			Emanuel Haller			1775	1775				in-8			232p.		A+ BN Q					Trad. de Alfred, Kônig der Angel-Sachsen, 1773.		3e personne			Angleterre			Alfred, Odun, Godiom, Amund			victoires militaires et administration d’Alfred, entremêlées d’aventures romanesques			considérations politiques				
75.3															Le comte d’Umby, anecdote historique Londres & Paris, rue Saint-Jean-de-Beauvais, la première porte cochère au-dessus du Collège								1775	1775				in-8			39p.		A+ CatH xxxv 1775; LV		Nouvelle dans le genre de celles d’Arnaud et d’Ussieux. Cf. Histoire de Flavie (75.5).					3e personne, avec récit intercalé 1re personne			Angleterre, Amérique			le comte d’Umby, la comtesse de Sonstermond			deux époux, séparés par des aventures romanesques, finissent par se retrouver			sensibilité, mélancolie				
75.30			LA FOLIE, C.-L. de												Le philosophe sans prétention ou l’homme rare, ouvrage physique, chymique, politique et moral, dédié aux savans par M. D.L.F.		Paris			Clousier			1775	1775				in-8			349p.		A BM BN+ AL 1776 I 143-144; CatH i 1776; CorrL mars 1776; LV B Mornet Q							3e personne			Chrysopolis (cadre oriental)			Nadir, Mirza, Ormasis			aventures, voyages, entrecoupés de discussions philosophiques et scientifiques			intentions didactiques (vulgarisation de théories scientifiques)				
75.31			LAISSE, madame de												Ouvrage sans titre. Minerve le donnera, par Mde de Laisse, auteur des Nouveaux contes moraux dédiés à la Reine		Paris			Saugrin			1775	1775				2 part, in-12			viii + 222, xii + 172p.		A BN+ LV 0 Gay		Pour les Nouveaux contes moraux, v. 74.18.					Lettres, avec récits intercalés 1re personne			Paris, Rome			Sophie, Julie			intrigue mondaine, longues descriptions de Rome et de l’Italie			sensibilité, discussions				
75.32			LEPRINCE DE BEAUMONT, madame Marie											éd. par EIDOUS, Marc-Antoine	Œuvres mêlées de madame Le Prince de Beaumont, extraites des journaux & feuilles périodiques qui ont paru en Angleterre pendant le séjour qu’elle y a fait, rassemblées et imprimées pour la première fois en forme de recueil pour servir de suite à ses autres ouvrages Maestricht, J.E. Dufour et Phil.		Roux						1775	1775				6t. in-12			xii + 309, 304, 296, 312, 223 (pour 323), 311 p.		BN+ AL 1778 VI 288; CatH xiii 1778; JP 4.L78 B Mornet Q		Avis du libraire: ‘J’avoue qu’aucune des pièces qui composent cette collection n’est nouvelle; mais la collection elle-même l’est ... Mon travail, que je ne prise pas plus qu’il ne mérite de l’être, a été de rapprocher les parties de chaque Histoire, & d’en faire un ensemble; de lire attentivement chaque pièce & de me pénétrer assez du style de l’Auteur, pour ne lui attribuer que ce qui est vraiment d’elle’.	(v. 51.25). Aux pages que nous n’indiquons pas on trouve des discussions et des réflexions.																		I, 1-239, Le nouveau spectateur ou journal de William; 240-307, Le philosophe indigent. II, 1-114, La nouvelle spectatrice ou journal de Manon; 115-244, Le triomphe de la constance ou l’amour désintéressé; 245-271, La force de l’amitié; 272-284, Aventure nouvelle; 285-293, Les héros modernes; 294-309, L’innocence à Cythère. III, 1-237, L’adepte moderne ou le vrai secret des francs-maçons; 238-242, L’ambitieux puni; 243-260, L’amant ennobli par l’amour; 261-273, La force du génie naturel, histoire de Molly, paysanne poète; 274-288, Histoire tragique de Ludovisio Carantani, Milanois, & de ses deux filles; 289-296, L’hypocrite démasqué. IV, 138-153, Histoire de Mlle Manon; 154-171, La paysanne généreuse ou l’amour désintéressé; 172-183, Histoire de Mlle de St. Maurice; 184-200, Histoire de madame Elisabeth de S***; 201-206, Histoire réelle, arrivée depuis quelques années; 207-216, Histoire normande; 297-303, Nouvelle italienne; 304-310, La force de l’honneur. V (réflexions et discours). VI, 116-129, Extrait du Triomphe de l’amitié		
